Date,Open,High,Low,Close,Adj Close,Volume
2022-11-04,59100.0,59500.0,58400.0,59400.0,58399.61328125,12445841
2022-11-07,59700.0,60300.0,59400.0,60200.0,59186.140625,12437246
2022-11-08,60500.0,61900.0,60500.0,61800.0,60759.19140625,18273898
2022-11-09,62000.0,62200.0,61300.0,62000.0,60955.82421875,14045592
2022-11-10,61400.0,61500.0,60400.0,60400.0,59382.76953125,21087633
2022-11-11,63100.0,63200.0,62300.0,62900.0,61840.6640625,20037163
2022-11-14,62900.0,62900.0,61700.0,61900.0,60857.5078125,15973416
2022-11-15,62200.0,62500.0,61600.0,62400.0,61349.0859375,12310986
2022-11-16,62400.0,62700.0,61700.0,62700.0,61644.03515625,12909260
2022-11-17,62000.0,62000.0,61300.0,61400.0,60365.92578125,13298296
2022-11-18,61800.0,62400.0,61400.0,61800.0,60759.19140625,12236503
2022-11-21,61400.0,61800.0,60800.0,61400.0,60365.92578125,9378097
2022-11-22,60900.0,61200.0,60300.0,60600.0,59579.3984375,9411289
2022-11-23,61200.0,61300.0,60700.0,61000.0,59972.66796875,8765050
2022-11-24,61200.0,61700.0,60900.0,61400.0,60365.92578125,8125010
2022-11-25,61400.0,61700.0,60800.0,61000.0,59972.66796875,6677933
2022-11-28,60500.0,60500.0,59800.0,60100.0,59087.8203125,8589032
2022-11-29,59900.0,60600.0,59800.0,60600.0,59579.3984375,7014160
2022-11-30,60400.0,62200.0,60200.0,62200.0,61152.453125,19768903
2022-12-01,63100.0,63200.0,62300.0,62600.0,61545.71484375,16631445
2022-12-02,62500.0,62500.0,60400.0,60400.0,59382.76953125,15331184
2022-12-05,60900.0,61100.0,60000.0,60300.0,59284.453125,13767787
2022-12-06,59800.0,60100.0,59200.0,59200.0,58202.98046875,13888300
2022-12-07,58800.0,59600.0,58500.0,58900.0,57908.03125,12100662
2022-12-08,58700.0,59200.0,58600.0,59200.0,58202.98046875,12986815
2022-12-09,59300.0,60600.0,59300.0,60400.0,59382.76953125,10529632
2022-12-12,59900.0,60000.0,59400.0,59500.0,58497.92578125,9036472
2022-12-13,59600.0,60300.0,59400.0,59700.0,58694.5625,9040873
2022-12-14,59800.0,60600.0,59800.0,60500.0,59481.08984375,8207485
2022-12-15,59800.0,60200.0,59300.0,59300.0,58301.29296875,8716039
2022-12-16,58300.0,59500.0,58300.0,59500.0,58497.92578125,13033596
2022-12-19,59500.0,59900.0,59100.0,59500.0,58497.92578125,7696187
2022-12-20,59000.0,59100.0,58500.0,58600.0,57613.0859375,9284761
2022-12-21,58700.0,59100.0,58000.0,58000.0,57023.19140625,10356971
2022-12-22,58100.0,59100.0,58100.0,59100.0,58104.6640625,10720630
2022-12-23,58200.0,58400.0,57700.0,58100.0,57121.50390625,9829407
2022-12-26,58000.0,58100.0,57700.0,57900.0,56924.875,6756411
2022-12-27,58000.0,58400.0,57900.0,58100.0,57121.50390625,10667027
2022-12-28,57600.0,57600.0,56400.0,56600.0,55994.6875,14665410
2022-12-29,56000.0,56200.0,55300.0,55300.0,54708.58984375,11295935
2023-01-02,55500.0,56100.0,55200.0,55500.0,54906.44921875,10031448
2023-01-03,55400.0,56000.0,54500.0,55400.0,54807.51953125,13547030
2023-01-04,55700.0,58000.0,55600.0,57800.0,57181.8515625,20188071
2023-01-05,58200.0,58800.0,57600.0,58200.0,57577.57421875,15682826
2023-01-06,58300.0,59400.0,57900.0,59000.0,58369.01953125,17334989
2023-01-09,59700.0,60700.0,59600.0,60700.0,60050.83984375,18640107
2023-01-10,60200.0,61100.0,59900.0,60400.0,59754.046875,14859797
2023-01-11,61000.0,61200.0,60300.0,60500.0,59852.98046875,12310751
2023-01-12,61100.0,61200.0,59900.0,60500.0,59852.98046875,16102561
2023-01-13,60500.0,61200.0,60400.0,60800.0,60149.76953125,12510328
2023-01-16,61300.0,61600.0,60800.0,61100.0,60446.55859375,10039972
2023-01-17,61200.0,61500.0,60600.0,61000.0,60347.6328125,9831456
2023-01-18,60700.0,61000.0,59900.0,60400.0,59754.046875,11584041
2023-01-19,60500.0,61500.0,60400.0,61500.0,60842.28515625,12808490
2023-01-20,62100.0,62300.0,61100.0,61800.0,61139.07421875,9646327
2023-01-25,63500.0,63700.0,63000.0,63300.0,62623.03515625,39217
2023-01-26,63800.0,63900.0,63300.0,63800.0,63117.6875,54188
2023-01-27,64400.0,65000.0,63900.0,64600.0,63909.1328125,44282
2023-01-30,64900.0,64900.0,63100.0,63300.0,62623.03515625,59628
2023-01-31,63500.0,63700.0,61000.0,61400.0,60743.3515625,163847
2023-02-01,62600.0,62700.0,61000.0,61000.0,60347.6328125,98585
2023-02-02,63200.0,63900.0,62600.0,63500.0,62820.89453125,65992
2023-02-03,63900.0,64000.0,63000.0,63500.0,62820.89453125,47567
2023-02-06,62800.0,63000.0,61600.0,61600.0,60941.2109375,144104
2023-02-07,61900.0,62500.0,61600.0,62000.0,61336.9375,32873
2023-02-08,62800.0,63300.0,62400.0,63100.0,62425.171875,42558
2023-02-09,63000.0,63300.0,62300.0,63300.0,62623.03515625,48035
2023-02-10,62600.0,63000.0,62400.0,62900.0,62227.30859375,44786
2023-02-13,62900.0,63000.0,62300.0,62900.0,62227.30859375,59395
2023-02-14,63600.0,63900.0,63200.0,63200.0,62524.1015625,70606
2023-02-15,63900.0,63900.0,62000.0,62200.0,61534.796875,58370
2023-02-16,62500.0,63700.0,62400.0,63700.0,63018.75390625,41448
2023-02-17,62900.0,63300.0,62400.0,62600.0,61930.515625,28613
2023-02-20,62900.0,63000.0,61800.0,62700.0,62029.44921875,29846
2023-02-21,62700.0,62800.0,62000.0,62100.0,61435.86328125,60971
2023-02-22,61500.0,61800.0,61000.0,61100.0,60446.55859375,39178
2023-02-23,61700.0,62500.0,61500.0,62000.0,61336.9375,37145
2023-02-24,62300.0,62600.0,61300.0,61300.0,60644.421875,50792
2023-02-27,60800.0,60800.0,60200.0,60500.0,59852.98046875,11155697
2023-02-28,60800.0,61400.0,60500.0,60600.0,59951.90625,13715861
2023-03-02,60900.0,61800.0,60500.0,60800.0,60149.76953125,13095682
2023-03-03,61000.0,61200.0,60500.0,60500.0,59852.98046875,10711405
2023-03-06,61100.0,61600.0,60800.0,61500.0,60842.28515625,13630602
2023-03-07,61400.0,61400.0,60700.0,60700.0,60050.83984375,11473280
2023-03-08,60100.0,60500.0,59900.0,60300.0,59655.1171875,14161857
2023-03-09,60500.0,60800.0,59900.0,60100.0,59457.25390625,14334499
2023-03-10,59500.0,59700.0,59100.0,59500.0,58863.671875,11902471
2023-03-13,59900.0,60200.0,59300.0,60000.0,59358.32421875,12779724
2023-03-14,59400.0,59500.0,59000.0,59000.0,58369.01953125,12147346
2023-03-15,60000.0,60300.0,59600.0,59800.0,59160.46484375,10482149
2023-03-16,59200.0,60200.0,59100.0,59900.0,59259.39453125,10611939
2023-03-17,60800.0,61300.0,60600.0,61300.0,60644.421875,14090110
2023-03-20,61100.0,61200.0,60200.0,60200.0,59556.1875,9618009
2023-03-21,60500.0,60700.0,60100.0,60300.0,59655.1171875,8318514
2023-03-22,61000.0,61200.0,60500.0,61100.0,60446.55859375,8978591
2023-03-23,60600.0,62300.0,60600.0,62300.0,61633.73046875,15381057
2023-03-24,62700.0,63300.0,62300.0,63000.0,62326.2421875,18278602
2023-03-27,62600.0,62800.0,62000.0,62100.0,61435.86328125,11039331
2023-03-28,62400.0,62900.0,62100.0,62900.0,62227.30859375,11614118
2023-03-29,62500.0,62700.0,62200.0,62700.0,62029.44921875,11216008
2023-03-30,63700.0,63700.0,63100.0,63200.0,62886.17578125,15684377
2023-03-31,64000.0,64000.0,63700.0,64000.0,63682.203125,14094479
2023-04-03,64000.0,64000.0,63000.0,63100.0,62786.671875,11973133
2023-04-04,63400.0,63800.0,62800.0,63600.0,63284.1875,11120514
2023-04-05,63700.0,64000.0,63400.0,63900.0,63582.69921875,9176149
2023-04-06,63500.0,63600.0,62300.0,62300.0,61990.64453125,14992747
2023-04-07,63800.0,65200.0,63800.0,65000.0,64677.234375,27476120
2023-04-10,64800.0,66300.0,64700.0,65700.0,65373.76171875,18777166
2023-04-11,66200.0,66200.0,65400.0,65900.0,65572.765625,16323183
2023-04-12,65800.0,66200.0,65300.0,66000.0,65672.2734375,15021313
2023-04-13,65600.0,66100.0,65400.0,66100.0,65771.7734375,15091022
2023-04-14,66600.0,66600.0,65000.0,65100.0,64776.73828125,16176490
2023-04-17,65000.0,65600.0,64700.0,65300.0,64975.74609375,13486618
2023-04-18,65900.0,66000.0,64800.0,65600.0,65274.2578125,14802060
2023-04-19,65500.0,65800.0,65300.0,65500.0,65174.75390625,10255985
2023-04-20,65100.0,65300.0,64600.0,65300.0,64975.74609375,9501169
2023-04-21,65800.0,65900.0,65400.0,65700.0,65373.76171875,10538622
2023-04-24,65300.0,65700.0,64800.0,65200.0,64876.2421875,12986581
2023-04-25,65300.0,65400.0,63400.0,63600.0,63284.1875,16193271
2023-04-26,63600.0,64300.0,63300.0,64100.0,63781.703125,12664541
2023-04-27,64100.0,65000.0,63300.0,64600.0,64279.22265625,14779601
